,word,pos,definition
58189,Fence,v. i.,"To make a defense; to guard one's self of anything, as against an attack; to give protection or security, as by a fence."
58190,Fence,v. i.,"To practice the art of attack and defense with the sword or with the foil, esp. with the smallsword, using the point only."
58191,Fence,v. i.,"Hence, to fight or dispute in the manner of fencers, that is, by thrusting, guarding, parrying, etc."
58233,Fenks,n.,"The refuse whale blubber, used as a manure, and in the manufacture of Prussian blue."
58237,Fenny,a.,"Pertaining to, or inhabiting, a fen; abounding in fens; swampy; boggy."
58250,Feoff,v. t.,To invest with a fee or feud; to give or grant a corporeal hereditament to; to enfeoff.
58251,Feoff,n.,A fief. See Fief.
58261,Ferae,n. pl.,"A group of mammals which formerly included the Carnivora, Insectivora, Marsupialia, and lemurs, but is now often restricted to the Carnivora."
58263,Feral,a.,"Wild; untamed; ferine; not domesticated; -- said of beasts, birds, and plants."
58264,Feral,a.,Funereal; deadly; fatal; dangerous.
58265,Ferde,,imp. of Fare.
58279,Feria,n.,"A week day, esp. a day which is neither a festival nor a fast."
58284,Ferie,n.,A holiday.
58290,Ferly,n.,Singular; wonderful; extraordinary.
58291,Ferly,n.,A wonder; a marvel.
58294,Ferme,n.,"Rent for a farm; a farm; also, an abode; a place of residence; as, he let his land to ferm."
58316,Ferny,a.,Abounding in ferns.
58328,Ferre,a. & adv.,Alt. of Ferrer
58372,Ferry,v. t.,"To carry or transport over a river, strait, or other narrow water, in a boat."
58373,Ferry,v. i.,To pass over water in a boat or by a ferry.
58375,Ferry,v. t.,"A place where persons or things are carried across a river, arm of the sea, etc., in a ferryboat."
58376,Ferry,v. t.,A vessel in which passengers and goods are conveyed over narrow waters; a ferryboat; a wherry.
58377,Ferry,v. t.,"A franchise or right to maintain a vessel for carrying passengers and freight across a river, bay, etc., charging tolls."
58428,Fesse,n.,"A band drawn horizontally across the center of an escutcheon, and containing in breadth the third part of it; one of the nine honorable ordinaries."
58433,Feste,n.,A feast.
58468,Fetal,a.,"Pertaining to, or connected with, a fetus; as, fetal circulation; fetal membranes."
58472,Fetch,v. t.,"To bear toward the person speaking, or the person or thing from whose point of view the action is contemplated; to go and bring; to get."
58473,Fetch,v. t.,To obtain as price or equivalent; to sell for.
58474,Fetch,v. t.,"To recall from a swoon; to revive; -- sometimes with to; as, to fetch a man to."
58475,Fetch,v. t.,To reduce; to throw.
58476,Fetch,v. t.,"To bring to accomplishment; to achieve; to make; to perform, with certain objects; as, to fetch a compass; to fetch a leap; to fetch a sigh."
58477,Fetch,v. t.,To bring or get within reach by going; to reach; to arrive at; to attain; to reach by sailing.
58478,Fetch,v. t.,To cause to come; to bring to a particular state.
58479,fetch,v. i.,"To bring one's self; to make headway; to veer; as, to fetch about; to fetch to windward."
58480,Fetch,n.,"A stratagem by which a thing is indirectly brought to pass, or by which one thing seems intended and another is done; a trick; an artifice."
58481,Fetch,n.,The apparation of a living person; a wraith.
58486,Feted,imp. & p. p.,of Fete
58501,Fetid,a.,Having an offensive smell; stinking.
58505,Fetis,a.,Neat; pretty; well made; graceful.
58511,Fetor,n.,"A strong, offensive smell; stench; fetidness."
58512,Fette,imp.,of Fette
58514,Fette,v. t.,To fetch.
58531,Fetus,n.,"The young or embryo of an animal in the womb, or in the egg; often restricted to the later stages in the development of viviparous and oviparous animals, embryo being applied to the earlier stages."
58534,Feuar,n.,One who holds a feu.
58563,Fever,n.,"A diseased state of the system, marked by increased heat, acceleration of the pulse, and a general derangement of the functions, including usually, thirst and loss of appetite.  Many diseases, of which fever is the most prominent symptom, are denominated fevers; as, typhoid fever; yellow fever."
58564,Fever,n.,"Excessive excitement of the passions in consequence of strong emotion; a condition of great excitement; as, this quarrel has set my blood in a fever."
58567,Fever,v. t.,"To put into a fever; to affect with fever; as, a fevered lip."
58581,Fewel,n.,Fuel.
58588,Feyne,v. t.,To feign.
58589,Feyre,n.,A fair or market.
58610,Fiber,n.,Alt. of Fibre
58611,Fibre,n.,"One of the delicate, threadlike portions of which the tissues of plants and animals are in part constituted; as, the fiber of flax or of muscle."
58612,Fibre,n.,"Any fine, slender thread, or threadlike substance; as, a fiber of spun glass; especially, one of the slender rootlets of a plant."
58613,Fibre,n.,"Sinew; strength; toughness; as, a man of real fiber."
58614,Fibre,n.,"A general name for the raw material, such as cotton, flax, hemp, etc., used in textile manufactures."
58660,Fiche,a.,See FitchE.
58662,Fichu,n.,"A light cape, usually of lace, worn by women, to cover the neck and throat, and extending to the shoulders."
58680,Ficus,n.,"A genus of trees or shrubs, one species of which (F. Carica) produces the figs of commerce; the fig tree."
58710,Fides,n.,Faith personified as a goddess; the goddess of faith.
58711,Fidge,n. & i.,See Fidget.
58719,Fidia,n.,"A genus of small beetles, of which one species (the grapevine Fidia, F. longipes) is very injurious to vines in America."
58730,Field,n.,Cleared land; land suitable for tillage or pasture; cultivated ground; the open country.
58731,Field,n.,"A piece of land of considerable size; esp., a piece inclosed for tillage or pasture."
58732,Field,n.,"A place where a battle is fought; also, the battle itself."
58733,Field,n.,An open space; an extent; an expanse.
58734,Field,n.,Any blank space or ground on which figures are drawn or projected.
58735,Field,n.,The space covered by an optical instrument at one view.
58736,Field,n.,"The whole surface of an escutcheon; also, so much of it is shown unconcealed by the different bearings upon it. See Illust. of Fess, where the field is represented as gules (red), while the fess is argent (silver)."
58737,Field,n.,"An unresticted or favorable opportunity for action, operation, or achievement; province; room."
58738,Field,n.,"A collective term for all the competitors in any outdoor contest or trial, or for all except the favorites in the betting."
58739,Field,n.,That part of the grounds reserved for the players which is outside of the diamond; -- called also outfield.
58742,Field,v. i.,To take the field.
58743,Field,v. i.,"To stand out in the field, ready to catch, stop, or throw the ball."
58744,Field,v. t.,"To catch, stop, throw, etc. (the ball), as a fielder."
58753,Fiend,n.,An implacable or malicious foe; one who is diabolically wicked or cruel; an infernal being; -- applied specifically to the devil or a demon.
58764,Fiery,a.,"Consisting of, containing, or resembling, fire; as, the fiery gulf of Etna; a fiery appearance."
58765,Fiery,a.,Vehement; ardent; very active; impetuous.
58766,Fiery,a.,Passionate; easily provoked; irritable.
58767,Fiery,a.,Unrestrained; fierce; mettlesome; spirited.
58768,Fiery,a.,"heated by fire, or as if by fire; burning hot; parched; feverish."
58770,Fifed,imp. & p. p.,of Fife
58773,Fifer,n.,One who plays on a fife.
58783,Fifth,a.,Next in order after the fourth; -- the ordinal of five.
58784,Fifth,a.,Consisting of one of five equal divisions of a thing.
58785,Fifth,n.,The quotient of a unit divided by five; one of five equal parts; a fifth part.
58786,Fifth,n.,"The interval of three tones and a semitone, embracing five diatonic degrees of the scale; the dominant of any key."
58791,Fifty,a.,"Five times ten; as, fifty men."
58793,Fifty,n.,The sum of five tens; fifty units or objects.
58794,Fifty,n.,"A symbol representing fifty units, as 50, or l."
58810,Fight,v. i.,"To strive or contend for victory, with armies or in single combat; to attempt to defeat, subdue, or destroy an enemy, either by blows or weapons; to contend in arms; -- followed by with or against."
58811,Fight,v. i.,To act in opposition to anything; to struggle against; to contend; to strive; to make resistance.
58812,Fight,v. t.,"To carry on, or wage, as a conflict, or battle; to win or gain by struggle, as one's way; to sustain by fighting, as a cause."
58813,Fight,v. t.,"To contend with in battle; to war against; as, they fought the enemy in two pitched battles; the sloop fought the frigate for three hours."
58814,Fight,v. t.,"To cause to fight; to manage or maneuver in a fight; as, to fight cocks; to fight one's ship."
58815,Fight,v. i.,"A battle; an engagement; a contest in arms; a combat; a violent conflict or struggle for victory, between individuals or between armies, ships, or navies, etc."
58816,Fight,v. i.,A struggle or contest of any kind.
58817,Fight,v. i.,"Strength or disposition for fighting; pugnacity; as, he has a great deal of fight in him."
58818,Fight,v. i.,A screen for the combatants in ships.
58895,Filar,a.,"Of or pertaining to a thread or line; characterized by threads stretched across the field of view; as, a filar microscope; a filar micrometer."
58903,Filch,v. t.,"To steal or take privily (commonly, that which is of little value); to pilfer."
58912,Filed,imp. & p. p.,of File
58926,Filer,n.,One who works with a file.
59005,Filly,n.,"A female foal or colt; a young mare.  Cf. Colt, Foal."
59006,Filly,n.,"A lively, spirited young girl."
59011,Filmy,a.,Composed of film or films.
59021,Filth,n.,Foul matter; anything that soils or defiles; dirt; nastiness.
59022,Filth,n.,Anything that sullies or defiles the moral character; corruption; pollution.
59059,Final,a.,"Pertaining to the end or conclusion; last; terminating; ultimate; as, the final day of a school term."
59060,Final,a.,"Conclusive; decisive; as, a final judgment; the battle of Waterloo brought the contest to a final issue."
59061,Final,a.,Respecting an end or object to be gained; respecting the purpose or ultimate end in view.
59085,Finch,n.,"A small singing bird of many genera and species, belonging to the family Fringillidae."
59088,Found,imp. & p. p.,of Find
59108,Findy,a.,Full; heavy; firm; solid; substemtial.
59120,Fined,imp. & p. p.,of Fine
59145,Finer,n.,One who fines or purifies.
59158,Finew,n.,Moldiness.
59200,Finis,n.,An end; conclusion. It is often placed at the end of a book.
59235,Finns,n. pl.,Natives of Finland; Finlanders.
59236,Finns,n. pl.,"A branch of the Mongolian race, inhabiting Northern and Eastern Europe, including the Magyars, Bulgarians, Permians, Lapps, and Finlanders."
